AnonRef,Gender, Standard TV , Increase offered , Total Enhanced TV Offer ,Enhancement %, Age at offer ,NUTS3, TP Liability , Buyout Liability , Accounting Liability , Retirement Quote ,Month of Offer,B.6g Gross Disposable Income,Acceptances Received
ANON1,F,264950,26495,291445,10,43,UKH15,439304,615181,314447,11003,February ,15890.23828,N
ANON2,F,19383,1938,21321,10,49.25,UKM34,30237,39640,22559,769,February ,14593.86719,N
ANON3,F,28528,8558,37086,30,56.42,UKM38,39357,45220,31929,920,February ,16095.20703,N
ANON4,M,26464,2646,29110,10,35.92,UKM38,46627,69739,32027,1150,February ,16095.20703,N
ANON5,F,43068,12920,55988,30,52.25,UKM38,63192,77551,49154,1542,February ,16095.20703,N
ANON6,F,61655,17645,79300,29,51.58,UKH15,90463,111020,70368,2207,February ,15890.23828,N
ANON7,M,28157,2816,30973,10,40.25,UKH15,46686,65377,33417,1169,February ,15890.23828,N
ANON8,M,26536,2654,29190,10,43.83,UKM33,43998,61613,31493,1102,February ,14867.0625,N
ANON9,F,79977,23993,103970,30,54.17,UKM38,117346,144012,91279,2863,February ,16095.20703,N
ANON10,M,26367,6633,33000,25,49.25,UKM24,41132,53922,30687,1047,February ,17445.37891,N
ANON11,M,22653,4947,27600,22,47.75,UKM38,35338,46327,26365,899,February ,16095.20703,N
ANON12,M,116014,34804,150818,30,53.75,UKH15,170222,208903,132409,4154,February ,15890.23828,N
ANON13,M,39251,7849,47100,20,45.75,UKM28,61230,80271,45683,1558,February ,15234.23828,N
ANON14,M,30186,7814,38000,26,48.58,UKH15,47089,61733,35132,1198,February ,15890.23828,N
ANON15,M,91336,21064,112400,23,48,UKM26,142481,186789,106302,3625,February ,15572.55469,N
ANON16,M,953552,142648,1096200,15,47.42,UKH15,1487506,1950084,1109800,37848,February ,15890.23828,N
ANON17,M,48549,4855,53404,10,40.42,UKK15,80497,112725,57619,2016,February ,18604.89844,N
ANON18,M,74368,22032,96400,30,50.92,UKM35,109117,133912,84878,2663,February ,17252.75,Y
ANON19,M,41960,10440,52400,25,48.33,UKH15,65456,85811,48836,1665,February ,15890.23828,N
ANON20,F,24728,6972,31700,28,51.08,UKM38,36282,44527,28223,885,February ,16095.20703,N
ANON21,M,26921,8076,34997,30,53.92,UKM28,39500,48476,30725,964,February ,15234.23828,N
ANON22,F,67869,20361,88230,30,52.33,UKM38,99581,122210,77460,2430,February ,16095.20703,N
ANON23,M,36350,3635,39985,10,41.25,UKM36,60271,84400,43141,1510,February ,14616.55078,N
ANON24,M,39791,11309,51100,28,49,UKM36,62072,81376,46311,1579,February ,14616.55078,N
ANON25,F,15828,1583,17411,10,42.33,UKH15,26244,36751,18785,657,February ,15890.23828,N
ANON26,M,364662,109399,474061,30,58,UKJ21,503080,578025,408141,11764,February ,18035.97656,Y
ANON27,M,164521,49356,213877,30,53.08,UKM28,241394,296248,187771,5890,February ,15234.23828,N
ANON28,M,44617,11583,56200,26,49.67,UKM36,69601,91245,51928,1771,February ,14616.55078,N
ANON29,M,66015,19805,85820,30,54.67,UKH15,96861,118871,75344,2364,February ,15890.23828,N
ANON30,F,10179,3054,13233,30,53.75,UKM24,14935,18329,11618,364,February ,17445.37891,N
ANON31,M,42267,5433,47700,13,44.58,UKH15,70081,98139,50163,1755,February ,15890.23828,N
ANON32,F,12283,1228,13511,10,37,UKM38,21641,32369,14865,534,February ,16095.20703,N
ANON33,F,92935,18365,111300,20,49.17,UKM38,144975,190059,108163,3689,February ,16095.20703,N
ANON34,M,142809,42843,185652,30,59.5,UKM38,197016,226366,159836,4607,February ,16095.20703,Y
ANON35,M,18851,1885,20736,10,37.83,UKM38,33213,49677,22813,819,February ,16095.20703,N
ANON36,M,17567,1757,19324,10,39.58,UKH15,30951,46294,21259,764,February ,15890.23828,N
ANON37,F,34934,10480,45414,30,53.92,UKM38,51257,62905,39871,1251,February ,16095.20703,N
ANON38,F,85218,8522,93740,10,41.83,UKM23,141297,197866,101138,3539,February ,18452.5,N
ANON39,M,23869,2387,26256,10,44.25,UKM26,39576,55421,28328,991,February ,15572.55469,N
ANON40,M,22102,2210,24312,10,42.67,UKK43,36647,51318,26231,918,February ,17349.98828,N
ANON41,M,333851,100155,434006,30,52.67,UKM61,489843,601155,381031,11953,February ,16773.63281,N
ANON42,F,24329,2433,26762,10,41.67,UKM28,40339,56489,28874,1010,February ,15234.23828,N
ANON43,F,140098,42029,182127,30,54.92,UKH15,205559,252270,159897,5016,February ,15890.23828,Y
ANON44,M,109605,32882,142487,30,58.08,UKH15,151209,173735,122673,3536,February ,15890.23828,Y
ANON45,F,22874,2426,25300,11,44.67,UKM28,37927,53111,27147,950,February ,15234.23828,N
ANON46,M,18754,1875,20629,10,37.17,UKM25,33042,49422,22696,815,February ,19768.77734,N
ANON47,M,179070,53721,232791,30,59.08,UKJ36,247041,283844,200421,5777,February ,20162.10938,N
ANON48,M,154689,15469,170158,10,39.67,UKL17,272545,407645,187203,6724,February ,14491.00781,N
ANON49,M,31351,9049,40400,29,50.17,UKH15,46000,56453,35782,1122,February ,15890.23828,N
ANON50,F,26401,4099,30500,16,46.25,UKH15,41185,53992,30727,1048,February ,15890.23828,N
ANON51,M,112155,33647,145802,30,53.33,UKH15,164560,201954,128005,4015,February ,15890.23828,N
ANON52,F,12362,1236,13598,10,41.75,UKM36,20497,28703,14671,513,February ,14616.55078,N
ANON53,F,172484,51745,224229,30,57.75,UKM27,237955,273404,193049,5565,February ,18548.74219,N
ANON54,M,34316,3432,37748,10,38.75,UKM33,60461,90432,41529,1492,February ,14867.0625,N
ANON55,F,36007,9693,45700,27,50.42,UKM38,52831,64837,41096,1289,February ,16095.20703,N
ANON56,F,19057,1906,20963,10,41.83,UKH15,31598,44248,22617,791,February ,15890.23828,N
ANON57,F,83733,25120,108853,30,55.42,UKK13,115516,132725,93717,2701,February ,18606.27734,N
ANON58,M,19451,1945,21396,10,37.42,UKM38,34270,51258,23539,846,February ,16095.20703,N
ANON59,M,30576,3058,33634,10,42.83,UKM22,50697,70994,36288,1270,February ,15506.49609,N
ANON60,F,160012,32688,192700,20,48.75,UKM38,249613,327236,186231,6351,February ,16095.20703,N
ANON61,M,102380,18020,120400,18,58.08,UKH15,141241,162282,114587,3303,February ,15890.23828,Y
ANON62,M,316522,84078,400600,27,50.33,UKH15,464417,569952,361253,11332,February ,15890.23828,N
ANON63,F,16021,1602,17623,10,39.58,UKH15,28227,42219,19388,696,February ,15890.23828,N
ANON64,M,234864,70136,305000,30,52.17,UKM38,344605,422913,268055,8409,February ,16095.20703,N
ANON65,F,15979,3121,19100,20,47.58,UKH15,24927,32678,18597,634,February ,15890.23828,N
ANON66,M,36179,6621,42800,18,44.75,UKH15,59987,84003,42938,1502,February ,15890.23828,N
ANON67,F,46611,13983,60594,30,51.83,UKM38,68390,83931,53198,1669,February ,16095.20703,N
ANON68,,109555,32345,141900,30,51.33,UKH15,160745,197272,125037,3922,February ,15890.23828,N
ANON69,F,15743,2757,18500,18,47.08,UKH15,24558,32196,18323,625,February ,15890.23828,N
ANON70,M,17602,5281,22883,30,51.08,UKH15,25827,31695,20090,630,February ,15890.23828,N
ANON71,M,174623,39377,214000,23,48.08,UKH15,272405,357117,203237,6931,February ,15890.23828,Y
ANON72,M,129212,38764,167976,30,53.5,UKH15,189587,232668,147472,4626,February ,15890.23828,Y
ANON73,M,31273,3127,34400,10,41.5,UKH15,51853,72612,37115,1299,February ,15890.23828,N
ANON74,M,78403,23521,101924,30,57,UKM38,108163,124277,87751,2529,February ,16095.20703,Y
ANON75,F,71247,18553,89800,26,51.25,UKH15,104537,128292,81316,2551,February ,15890.23828,N
ANON76,M,19774,3926,23700,20,45.33,UKM28,30847,40439,23014,785,February ,15234.23828,N
ANON77,M,25570,7671,33241,30,54.92,UKM25,37518,46043,29184,915,February ,19768.77734,N
ANON78,F,85257,20043,105300,24,50.5,UKM26,125093,153520,97306,3052,February ,15572.55469,N
ANON79,M,18740,5622,24362,30,50.83,UKH15,27496,33745,21388,671,February ,15890.23828,N
ANON80,M,18987,5696,24683,30,54.92,UKK13,27859,34189,21670,680,February ,18606.27734,N
ANON81,M,123096,25504,148600,21,46.5,UKE12,192025,251740,143266,4886,February ,16833.32813,N
ANON82,F,79852,23956,103808,30,52.33,UKM35,117163,143787,91137,2859,February ,17252.75,N
ANON83,M,107450,32235,139685,30,51.92,UKH15,157656,193482,122635,3847,February ,15890.23828,N
ANON84,M,78275,23483,101758,30,50.17,UKH15,114849,140947,89337,2802,February ,15890.23828,N
ANON85,F,29656,6044,35700,20,48,UKH15,46262,60649,34515,1177,February ,15890.23828,N
ANON86,M,131257,25343,156600,19,47,UKF24,204756,268430,152765,5210,February ,18181.93359,N
ANON87,F,560152,79948,640100,14,46.08,UKK11,873816,1145552,651938,22233,February ,16212.61719,N
ANON88,M,24230,2423,26653,10,41.58,UKH34,40175,56259,28757,1006,February ,18784.33594,N
ANON89,M,60500,13900,74400,23,47.42,UKH15,94378,123727,70413,2401,February ,15890.23828,N
ANON90,F,22390,4810,27200,21,48.5,UKM38,34928,45789,26059,889,February ,16095.20703,N
ANON91,F,59259,17778,77037,30,59.17,UKM38,81752,93931,66324,1912,February ,16095.20703,Y
ANON92,M,54406,16322,70728,30,51.75,UKH15,79827,97967,62095,1948,February ,15890.23828,N
ANON93,M,36454,5946,42400,16,45.17,UKH15,56867,74551,42427,1447,February ,15890.23828,N
ANON94,F,52560,15768,68328,30,52.42,UKM28,77119,94643,59988,1882,February ,15234.23828,N
ANON95,M,21602,6298,27900,29,50.25,UKH15,31696,38898,24655,773,February ,15890.23828,N
ANON96,F,31992,9598,41590,30,53.83,UKJ12,46940,57607,36513,1145,February ,17520.96875,N
ANON97,M,214011,45189,259200,21,49.17,UKH15,333849,437668,249079,8494,February ,15890.23828,Y
ANON98,M,249594,74878,324472,30,54.42,UKH15,366217,449436,284867,8936,February ,15890.23828,N
ANON99,M,40776,4078,44854,10,41.83,UKM34,67609,94677,48394,1693,February ,14593.86719,N
ANON100,M,62621,18786,81407,30,51.17,UKH15,91881,112760,71471,2242,February ,15890.23828,N
ANON101,M,69037,9763,78800,14,44.17,UKM28,114468,160295,81934,2867,February ,15234.23828,N
ANON102,M,36321,10896,47217,30,51.67,UKH15,53292,65402,41454,1300,February ,15890.23828,N
ANON103,M,30300,9090,39390,30,53.42,UKH15,44458,54560,34582,1085,February ,15890.23828,N
ANON104,F,26719,4581,31300,17,47.08,UKH15,41681,54642,31097,1061,February ,15890.23828,N
ANON105,F,71697,21509,93206,30,59.33,UKM38,98912,113647,80245,2313,February ,16095.20703,Y
ANON106,M,53063,15919,68982,30,53.42,UKH15,77857,95549,60562,1900,February ,15890.23828,N
ANON108,,63395,16705,80100,26,49.17,UKH15,98894,129647,73783,2516,February ,15890.23828,Y
ANON109,F,11441,3432,14873,30,51.92,UKM31,16787,20601,13058,410,February ,17751.28516,Y
ANON110,M,76685,7669,84354,10,43.33,UKH15,127149,178053,91011,3185,February ,15890.23828,N
ANON111,M,16140,1614,17754,10,41.33,UKM36,26761,37475,19155,670,February ,14616.55078,N
ANON112,F,36422,3642,40064,10,38.75,UKM28,64172,95981,44078,1583,February ,15234.23828,N
ANON113,M,601452,180436,781888,30,57.5,UKM31,829750,953361,673163,19404,February ,17751.28516,N
ANON114,M,42649,4265,46914,10,41.67,UKM26,70715,99026,50617,1771,February ,15572.55469,N
ANON116,M,22759,2276,25035,10,40.42,UKM38,37736,52844,27011,945,February ,16095.20703,N
ANON117,F,24561,4039,28600,16,47.42,UKH15,38314,50229,28586,975,February ,15890.23828,N
ANON118,M,31223,7477,38700,24,47.33,UKH12,48707,63853,36339,1239,February ,18526.5625,N
ANON119,M,76308,14592,90900,19,45.67,UKM38,119038,156055,88812,3029,February ,16095.20703,N
ANON120,M,110230,28870,139100,26,49.08,UKH15,171955,225428,128292,4375,February ,15890.23828,N
ANON121,F,130192,13019,143211,10,44.33,UKM31,215867,302290,154514,5407,February ,17751.28516,N
ANON122,M,265795,79739,345534,30,59.75,UKE44,366685,421311,297486,8575,February ,14446.68359,Y
ANON123,M,31150,3115,34265,10,38.67,UKM36,54883,82088,37697,1354,February ,14616.55078,N
ANON124,M,37953,7347,45300,19,44.92,UKM22,62929,88122,45043,1576,February ,15506.49609,N
ANON125,M,929052,278716,1207768,30,58.58,UKH15,1281700,1472640,1039823,29972,February ,15890.23828,Y
ANON126,M,170875,51263,222138,30,51.83,UKH15,250717,307689,195023,6118,February ,15890.23828,N
ANON127,M,20992,6298,27290,30,47.42,UKH15,32747,42930,24432,833,February ,15890.23828,N
ANON128,M,26529,7959,34488,30,50.5,UKM37,38925,47770,30278,950,February ,17301.26563,N
ANON129,F,10371,1037,11408,10,48.67,UKH15,16178,21209,12070,412,February ,15890.23828,N
ANON130,M,36893,8607,45500,23,47.58,UKH15,57552,75449,42938,1464,February ,15890.23828,N
ANON131,M,31788,5812,37600,18,46.17,UKM34,49588,65009,36997,1262,February ,14593.86719,N
ANON132,M,89917,26975,116892,30,58.5,UKM26,124048,142527,100638,2901,February ,15572.55469,Y
ANON133,M,292736,52064,344800,18,47,UKH15,456657,598667,340703,11619,February ,15890.23828,N
ANON134,M,43589,13077,56666,30,57.83,UKH15,60134,69093,48786,1406,February ,15890.23828,N
ANON135,M,153419,33781,187200,22,47.42,UKM38,239328,313753,178558,6089,February ,16095.20703,N
ANON136,M,31287,6413,37700,20,47.17,UKH15,48807,63984,36414,1242,February ,15890.23828,N
ANON137,M,36073,8727,44800,24,48.17,UKM28,56273,73772,41984,1432,February ,15234.23828,N
ANON138,F,38309,11493,49802,30,57.17,UKC22,52850,60724,42877,1236,February ,14344.61328,Y
ANON139,F,17884,1788,19672,10,43.75,UKM36,29653,41524,21225,743,February ,14616.55078,N
ANON140,M,147331,37969,185300,26,49.42,UKM31,229831,301303,171473,5848,February ,17751.28516,N
ANON141,F,71062,7106,78168,10,41.67,UKM38,117825,164997,84338,2951,February ,16095.20703,N
ANON142,M,110227,33068,143295,30,56.5,UKM25,152067,174721,123369,3556,February ,19768.77734,N
ANON143,M,40908,4091,44999,10,37.92,UKM36,72075,107803,49507,1778,February ,14616.55078,Y
ANON144,M,44654,4465,49119,10,42.58,UKM38,74039,103681,52996,1854,February ,16095.20703,N
ANON145,M,25024,2502,27526,10,38.67,UKD74,44090,65945,30284,1088,February ,16088.67969,Y
ANON146,M,216704,21670,238374,10,42.33,UKH15,359309,503160,257188,9000,February ,15890.23828,N
ANON147,M,81838,24551,106389,30,50.08,UKH25,120077,147363,93403,2930,February ,19073.375,Y
ANON148,F,16374,1637,18011,10,36.42,UKM38,28849,43150,19816,712,February ,16095.20703,N
ANON150,M,34244,8056,42300,24,48.58,UKH15,53419,70031,39855,1359,February ,15890.23828,Y
ANON151,M,35297,8603,43900,24,48.33,UKJ37,55062,72185,41081,1401,February ,19265.12109,N
ANON152,M,20052,6016,26068,30,54.08,UKM36,29421,36107,22886,718,February ,14616.55078,Y
ANON153,M,29056,2906,31962,10,41.08,UKH15,48177,67464,34484,1207,February ,15890.23828,N
ANON155,M,232157,69647,301804,30,59.83,UKM34,320279,367992,259837,7490,February ,14593.86719,Y
ANON156,F,31677,8223,39900,26,50.83,UKH15,46478,57040,36154,1134,February ,15890.23828,N
ANON157,F,21533,2153,23686,10,44.33,UKM28,35703,49997,25556,894,February ,15234.23828,N
ANON159,M,52511,14989,67500,29,49,UKM28,81915,107389,61115,2084,February ,15234.23828,N
ANON160,F,31920,9576,41496,30,58.42,UKH15,44036,50596,35726,1030,February ,15890.23828,N
ANON161,M,23514,2351,25865,10,52.58,UKJ41,34501,42341,26837,842,February ,16264.97266,N
ANON162,M,42897,4290,47187,10,42,UKM25,71126,99602,50911,1781,February ,19768.77734,N
ANON163,M,15414,1541,16955,10,42.42,UKJ25,25557,35789,18294,640,February ,24442.50781,N
ANON164,M,32821,8779,41600,27,49.42,UKM38,51200,67121,38199,1303,February ,16095.20703,N
ANON165,F,24724,5476,30200,22,49.58,UKH15,38569,50562,28775,981,March,15890.23828,N
ANON166,M,51614,10386,62000,20,45.25,UKH15,80516,105554,60071,2049,February ,15890.23828,N
ANON167,M,101474,30442,131916,30,58.25,UKH15,139991,160846,113573,3274,February ,15890.23828,Y
ANON168,F,37179,11154,48333,30,52.58,UKM36,54551,66947,42433,1331,February ,14616.55078,N
ANON169,M,16395,1640,18035,10,42.17,UKH15,27184,38067,19458,681,February ,15890.23828,N
ANON170,M,31014,3101,34115,10,37.08,UKM38,54643,81730,37533,1348,February ,16095.20703,N
ANON171,F,72497,19503,92000,27,50.42,UKM28,106371,130543,82742,2596,February ,15234.23828,N
ANON172,F,7190,2157,9347,30,52.58,UKM38,10550,12947,8206,257,February ,16095.20703,N
ANON173,F,65233,12967,78200,20,47.67,UKM28,101761,133406,75922,2589,February ,15234.23828,N
ANON174,F,21948,2195,24143,10,42.25,UKM36,36391,50961,26048,911,February ,14616.55078,N
ANON175,M,32954,3446,36400,10,40.83,UKM38,54640,76515,39110,1369,February ,16095.20703,N
ANON176,F,145126,43538,188664,30,55.08,UKI62,200213,230039,162429,4682,February ,20872.23047,N
ANON177,M,32099,7301,39400,23,47.25,UKH15,50073,65645,37359,1274,February ,15890.23828,N
ANON178,M,124292,34908,159200,28,51.5,UKH15,182368,223809,141857,4450,February ,15890.23828,N
ANON179,M,56659,6741,63400,12,44.33,UKH15,93944,131555,67244,2353,February ,15890.23828,N
ANON180,M,107568,29232,136800,27,49.67,UKH15,167802,219984,125194,4270,February ,15890.23828,N
ANON181,F,57898,17369,75267,30,53.08,UKM38,84951,104255,66080,2073,February ,16095.20703,N
ANON182,F,15233,2267,17500,15,46.17,UKH15,23763,31153,17729,605,February ,15890.23828,N
ANON183,M,35195,3705,38900,11,43.33,UKM36,58356,81718,41770,1462,February ,14616.55078,N
ANON184,M,177582,53275,230857,30,57.17,UKJ37,244988,281485,198755,5729,February ,19265.12109,N
ANON185,M,211010,63303,274313,30,55.67,UKK13,291105,334472,236169,6807,February ,18606.27734,N
ANON186,M,28449,4551,33000,16,45.67,UKH15,44379,58180,33111,1129,February ,15890.23828,N
ANON187,M,52754,15826,68580,30,52.17,UKH15,77403,94993,60209,1889,February ,15890.23828,N
ANON188,M,113260,33978,147238,30,52.08,UKH15,166181,203944,129266,4055,February ,15890.23828,N
ANON189,M,28284,8485,36769,30,54.08,UKH15,41500,50930,32281,1013,February ,15890.23828,N
ANON190,M,95673,28702,124375,30,59.08,UKM28,131988,151651,107080,3087,February ,15234.23828,Y
ANON191,M,151487,45446,196933,30,52.17,UKM37,222270,272778,172895,5424,February ,17301.26563,N
ANON192,M,32942,9883,42825,30,49.75,UKM33,51388,67369,38340,1308,February ,14867.0625,N
ANON193,M,62276,18683,80959,30,53.83,UKM36,91375,112139,71077,2230,February ,14616.55078,Y
ANON194,M,12207,2093,14300,17,55.75,UKG11,16841,19349,13662,394,February ,17505.46875,N
ANON195,M,36128,7172,43300,20,45.92,UKM25,56358,73884,42048,1434,February ,19768.77734,N
ANON196,M,27975,2798,30773,10,47.92,UKF22,43640,57211,32559,1110,February ,17097.42188,N
ANON198,M,133812,13381,147193,10,38.08,UKH15,235762,352629,161938,5817,February ,15890.23828,Y
ANON199,F,10143,1014,11157,10,53.25,UKH15,14882,18264,11576,363,February ,15890.23828,N
ANON200,M,44689,13407,58096,30,50.75,UKH15,65570,80470,51004,1600,February ,15890.23828,N
ANON201,F,34789,6211,41000,18,47.92,UKM38,54270,71146,40489,1381,February ,16095.20703,N
ANON202,F,52015,15605,67620,30,53.67,UKM36,76319,93662,59366,1862,February ,14616.55078,N
ANON203,M,25203,6197,31400,25,48.83,UKM31,39316,51542,29333,1000,February ,17751.28516,N
ANON204,M,51245,15374,66619,30,51.5,UKM36,75189,92275,58487,1835,February ,14616.55078,N
ANON206,M,34128,6772,40900,20,46.83,UKC22,53238,69794,39720,1355,February ,14344.61328,N
ANON207,M,10694,1069,11763,10,37.83,UKM38,18842,28181,12942,465,February ,16095.20703,N
ANON208,F,85168,9832,95000,12,45.17,UKM34,132859,174175,99124,3380,February ,14593.86719,N
ANON209,M,34963,4937,39900,14,44.5,UKM25,57971,81180,41495,1452,February ,19768.77734,N
ANON210,M,17837,1784,19621,10,43.83,UKM28,29575,41415,21169,741,February ,15234.23828,N
ANON211,M,63703,19111,82814,30,52.75,UKH15,93468,114708,72706,2281,February ,15890.23828,N
ANON212,M,35255,9345,44600,27,49.33,UKM38,54996,72099,41032,1399,February ,16095.20703,N
ANON213,M,15242,4573,19815,30,53.92,UKH15,22364,27446,17396,546,February ,15890.23828,N
ANON214,M,45447,11953,57400,26,49.33,UKH15,70896,92942,52894,1804,February ,15890.23828,N
ANON215,F,104968,31490,136458,30,57.08,UKM38,144812,166385,117483,3386,February ,16095.20703,Y
ANON216,F,69647,20894,90541,30,52.5,UKM33,102190,125411,79490,2494,February ,14867.0625,N
ANON217,M,153010,45903,198913,30,56.67,UKM38,211089,242536,171253,4936,February ,16095.20703,N
ANON218,M,29881,2988,32869,10,37.42,UKM22,52647,78744,36162,1299,February ,15506.49609,N
ANON219,F,60821,15479,76300,25,49.83,UKM38,94878,124383,70787,2414,March,16095.20703,N
ANON220,M,52006,13194,65200,25,48.42,UKM38,81127,106356,60528,2064,February ,16095.20703,Y
ANON221,F,13690,2310,16000,17,47.08,UKM38,21356,27997,15933,543,February ,16095.20703,Y
ANON222,M,28257,6943,35200,25,49.08,UKK12,44080,57788,32887,1122,February ,18320.59766,N
ANON223,F,16473,4942,21415,30,52.75,UKJ25,24170,29662,18801,590,February ,24442.50781,N
ANON224,M,16729,1673,18402,10,38.92,UKM34,29475,44085,20245,727,February ,14593.86719,N
ANON225,M,111987,30813,142800,28,49.25,UKM38,174696,229022,130337,4445,February ,16095.20703,Y
ANON226,F,29830,2983,32813,10,42.33,UKM28,49460,69262,35403,1239,February ,15234.23828,N
ANON227,M,41954,9946,51900,24,47.75,UKH14,65447,85799,48829,1665,February ,17015.03906,N
ANON228,M,83918,25175,109093,30,52.67,UKM24,123129,151109,95777,3005,February ,17445.37891,N
ANON229,M,55373,11827,67200,21,47.17,UKM36,86380,113242,64446,2198,February ,14616.55078,N
ANON230,M,47641,10159,57800,21,47,UKM34,74318,97429,55447,1891,February ,14593.86719,Y
ANON231,M,20638,6062,26700,29,50.33,UKH15,30281,37162,23555,739,February ,15890.23828,N
ANON232,M,399857,119957,519814,30,63.75,UKH15,518587,557842,438859,12687,February ,15890.23828,Y
ANON233,M,571778,171533,743311,30,54.08,UKH15,838942,1029583,652582,20471,February ,15890.23828,N
ANON234,M,263905,79172,343077,30,58.83,UKH15,364078,418316,295370,8514,February ,15890.23828,Y
ANON235,F,23715,7115,30830,30,56.08,UKH15,32717,37591,26543,765,February ,15890.23828,N
ANON236,F,115777,25023,140800,22,48.67,UKH15,180608,236772,134748,4595,February ,15890.23828,N
ANON237,F,80993,19807,100800,24,51.25,UKM38,118837,145842,92439,2900,February ,16095.20703,N
ANON238,F,52540,10260,62800,20,48,UKH15,81960,107448,61149,2085,February ,15890.23828,N
ANON239,F,133977,40193,174170,30,62.58,UKH15,173759,186912,147045,4251,February ,15890.23828,N
ANON240,F,18997,4203,23200,22,48.92,UKH15,29635,38850,22110,754,February ,15890.23828,N
ANON241,M,27673,2767,30440,10,38.25,UKH15,48757,72925,33490,1203,February ,15890.23828,N
ANON243,F,25388,7616,33004,30,54.5,UKM22,37251,45715,28976,909,February ,15506.49609,N
ANON244,M,40762,12229,52991,30,56.33,UKK21,56234,64612,45622,1315,February ,17369.17969,N
ANON245,M,27855,8045,35900,29,50,UKH15,40870,50158,31791,997,February ,15890.23828,N
ANON246,M,40141,9859,50000,25,47.33,UKM38,62618,82091,46718,1593,February ,16095.20703,N
ANON247,M,114350,34305,148655,30,55.67,UKM28,157755,181256,127984,3689,February ,15234.23828,Y
ANON248,M,102184,26816,129000,26,49.75,UKM36,159403,208974,118928,4056,February ,14616.55078,N
ANON249,M,55132,16540,71672,30,56.83,UKM34,76059,87390,61705,1779,February ,14593.86719,N
ANON250,M,104200,31260,135460,30,51.67,UKH15,152888,187630,118926,3731,February ,15890.23828,N
ANON251,F,41187,8213,49400,20,48.33,UKM22,64250,84230,47936,1635,February ,15506.49609,N
ANON252,M,81234,10666,91900,13,44.58,UKM38,134691,188615,96410,3374,February ,16095.20703,N
ANON253,M,46974,14092,61066,30,52.92,UKM36,68923,84585,53612,1682,February ,14616.55078,N
ANON254,M,22940,6882,29822,30,53.92,UKM24,33659,41307,26182,821,February ,17445.37891,N
ANON255,M,330135,99041,429176,30,53.92,UKH12,484391,594464,376790,11820,February ,18526.5625,N
ANON256,F,15559,1556,17115,10,40.5,UKM37,25798,36126,18466,646,February ,17301.26563,N
ANON257,M,15232,1523,16755,10,36.92,UKM33,26837,40140,18434,662,February ,14867.0625,N
ANON258,M,15933,4767,20700,30,48.92,UKH14,24855,32584,18544,632,February ,17015.03906,N
ANON259,F,16554,4966,21520,30,53.25,UKM36,24289,29808,18893,593,February ,14616.55078,N
ANON260,M,235317,70595,305912,30,56.33,UKM36,324638,373001,263374,7592,February ,14616.55078,Y
ANON261,M,116347,22353,138700,19,45.75,UKM38,181497,237938,135412,4618,February ,16095.20703,N
ANON262,F,48887,14666,63553,30,55.58,UKM22,67443,77491,54716,1577,February ,15506.49609,N
ANON263,M,60899,16301,77200,27,49,UKJ25,95000,124543,70878,2417,February ,24442.50781,N
ANON264,M,219696,65909,285605,30,56.83,UKH15,303088,348240,245890,7088,February ,15890.23828,N
ANON265,M,103891,31167,135058,30,50.5,UKC22,152434,187073,118573,3720,February ,14344.61328,N
ANON266,F,21463,4737,26200,22,47.08,UKM38,33481,43893,24980,852,February ,16095.20703,N
ANON267,M,43806,13142,56948,30,55.92,UKM24,60434,69437,49029,1413,February ,17445.37891,N
ANON268,F,25922,2592,28514,10,42.25,UKJ25,42980,60188,30765,1077,February ,24442.50781,N
ANON269,F,56817,17045,73862,30,54.75,UKM38,83365,102309,64846,2034,February ,16095.20703,Y
ANON270,M,41448,4145,45593,10,39.5,UKM27,73027,109226,50160,1802,February ,18548.74219,Y
ANON271,M,132823,39847,172670,30,57.67,UKH14,183240,210538,148660,4285,February ,17015.03906,N
ANON272,M,60583,18175,78758,30,49.5,UKH15,94507,123897,70510,2405,February ,15890.23828,N
ANON273,F,16332,2768,19100,17,46.58,UKM38,25477,33400,19008,648,February ,16095.20703,N
ANON274,M,114558,30542,145100,27,48.83,UKM28,178706,234280,133329,4547,February ,15234.23828,Y
ANON275,F,29542,2954,32496,10,39.92,UKM36,52050,77851,35751,1284,February ,14616.55078,N
ANON276,F,12864,1286,14150,10,49.67,UKH15,20067,26308,14972,511,February ,15890.23828,N
ANON277,F,197177,24623,221800,12,45.33,UKM35,307589,403241,229486,7826,February ,17252.75,N
ANON278,F,52466,13434,65900,26,50.58,UKH15,76981,94474,59881,1878,February ,15890.23828,N
ANON279,M,23031,6909,29940,30,53,UKH15,33792,41471,26286,825,February ,15890.23828,N
ANON280,F,47234,4723,51957,10,51.08,UKH15,69304,85053,53909,1691,February ,15890.23828,Y
ANON281,M,47130,14139,61269,30,56.25,UKM28,65020,74706,52749,1520,February ,15234.23828,Y
ANON282,M,465406,94894,560300,20,46.33,UKJ25,726016,951789,541667,18473,February ,24442.50781,N
ANON283,M,79517,15883,95400,20,56.92,UKJ25,109700,126042,88998,2565,February ,24442.50781,N
ANON284,M,42961,4739,47700,11,43.83,UKH15,71232,99750,50987,1784,February ,15890.23828,N
ANON285,M,69643,20893,90536,30,51.83,UKF22,102184,125404,79485,2493,February ,17097.42188,N
ANON286,F,297605,53895,351500,18,48.33,UKJ25,464253,608624,346370,11812,February ,24442.50781,N
