AnonRef,Gender, Standard TV , Increase offered , Total Enhanced TV Offer ,Enhancement %, Age at offer ,NUTS3, TP Liability , Buyout Liability , Accounting Liability , Retirement Quote ,Month of Offer,B.6g Gross Disposable Income,Acceptances Received
ANON5655,M,23258,2326,25584,10,40.58,UKH15,38563,54002,27603,966,November,15890.23828,N
ANON5656,M,138083,17217,155300,12,49.75,UKH15,215404,282390,160709,5481,November,15890.23828,N
ANON5657,M,318185,95456,413641,30,54.08,UKH15,466857,572946,363151,11392,November,15890.23828,N
ANON5658,F,19173,1917,21090,10,40.5,UKH15,31790,44517,22755,796,November,15890.23828,N
ANON5659,M,589339,119261,708600,20,52.17,UKH15,864709,1061205,672625,21100,November,15890.23828,Y
ANON5660,M,109321,31479,140800,29,51.67,UKM38,160401,196851,124770,3914,November,16095.20703,Y
ANON5661,F,159493,15949,175442,10,45.5,UKJ37,248803,326175,185627,6330,November,19265.12109,N
ANON5662,M,341814,34181,375995,10,45.67,UKH15,533217,699035,397823,13567,November,15890.23828,Y
ANON5663,M,89047,8905,97952,10,39.5,UKK21,156891,234662,107764,3871,November,17369.17969,N
ANON5664,M,162763,48829,211592,30,54.17,UKM25,238814,293082,185765,5827,November,19768.77734,N
ANON5665,M,655154,196546,851700,30,56.75,UKM63,903836,1038484,733268,21136,November,16117.69141,Y
ANON5666,M,90554,9346,99900,10,61.92,UKH15,117442,126332,99387,2873,November,15890.23828,N
ANON5667,M,68128,6813,74941,10,46.83,UKH15,106277,139327,79291,2704,November,15890.23828,N
ANON5668,F,156520,15652,172172,10,45.42,UKH15,244165,320095,182167,6212,November,15890.23828,N
ANON5669,M,39219,3922,43141,10,46.5,UKH15,61180,80206,45645,1557,November,15890.23828,N
ANON5670,F,42521,7079,49600,17,52.08,UKJ36,62389,76566,48530,1522,November,20162.10938,N
ANON5671,F,82269,8227,90496,10,48.5,UKM38,128337,168246,95750,3265,November,16095.20703,N
ANON5672,M,100714,30214,130928,30,55.83,UKH15,138943,159642,112722,3249,November,15890.23828,N
ANON5673,M,477750,47775,525525,10,46.75,UKE22,745272,977034,556034,18962,November,18642.18359,N
ANON5674,M,144763,41337,186100,29,53.5,UKM22,212404,260670,165221,5183,November,15506.49609,Y
ANON5675,M,133545,40064,173609,30,54.17,UKM25,195944,240470,152418,4781,November,19768.77734,Y
